Station:,NewSta1
Sixlog Tag Name:,/nvram/datalog/sjjl_wrz_11.6dl
Time,Modbus_123_OK,Modbus_124_OK,Self_Heartbeat,Self_Active,Self_Backup,Other_Heartbeat,Other_Active,Other_Status,Self_Status,Redundancy_Role,PT_101_FO,TT_101_FO,PdT_201_FO,PdT_202_FO,PdT_203_FO,PT_304_FO,PT_301_FO,PT_302_FO,PT_303_FO,TT_301_FO,TT_302_FO,TT_303_FO,TT_401_FO,PT_401_FO,V1_01_FK1_FO,V1_01_FK2_FO,PIC_401_FO,PT_01_FO,PT_02_FO,PT_03_FO,PIC_401_SD_FO,LLJ1_1_FO,LLJ1_2_FO,LLJ1_3_FO,LLJ1_4_FO,LLJ1_5_FO,LLJ1_6_FO,LLJ2_1_FO,LLJ2_2_FO,LLJ2_3_FO,LLJ2_4_FO,LLJ2_5_FO,LLJ2_6_FO,LLJ3_1_FO,LLJ3_2_FO,LLJ3_3_FO,LLJ3_4_FO,LLJ3_5_FO,LLJ3_6_FO,PIC_401_SP_LL,PIC_401_SP_YL,PIC_401_P1,PIC_401_I1,PIC_401_D1,PIC_401_OUT,WSD_SD_FO,WSD_WD_FO,QTBJ_LD1_FO,QTBJ_LD2_FO,QTBJ_LD3_FO,UPS_SRDY_FO,UPS_SCDY_FO,UPS_DCDY_FO,PT_SYYL,PT_XYYL,SIXLOG Record Number,SIXLOG Timestamp
2014/08/18   10:12:19,1,1,1,1,0,1,0,0,0,1,0.0000,19.6597,0.0000,0.2747,0.2899,1.3949,0.0086,0.3747,0.3754,25.5284,24.6159,12.1674,13.3943,0.3749,0.0000,0.0000,22.2510,0.0000,2.2797,0.3599,0.0000,961.0000,11300.0000,0.0000,0.0000,0.0000,0.0000,141182.0000,703297.0000,509.4740,33.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,69.5000,24.9000,0.0000,0.0000,0.0000,231.2000,219.0000,218.7000,0.0000,0.0000,0,1408327939
2014/08/18   10:13:19,1,1,1,1,0,0,0,0,0,1,0.0000,19.6414,0.0000,0.2747,0.2808,1.3949,0.0086,0.3747,0.3754,25.5559,24.6464,12.1583,13.3546,0.3749,0.0000,0.0000,22.2510,0.0000,2.2792,0.3599,0.0000,961.0000,11300.0000,0.0000,0.0000,0.0000,0.0000,141182.0000,703297.0000,509.4740,33.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,69.9000,24.9000,0.0000,0.0000,0.0000,229.6000,219.4000,218.7000,0.0000,0.0000,1,1408327999
2014/08/18   10:14:19,1,1,0,1,0,0,0,0,0,1,0.0000,19.6414,0.0000,0.2655,0.2716,1.3949,0.0086,0.3746,0.3754,25.5834,24.6831,12.1583,13.3454,0.3749,0.0000,0.0000,22.2510,0.0000,2.2779,0.3599,0.0000,961.0000,11300.0000,108.3970,24.9200,0.0000,0.0000,141182.0000,703297.0000,509.4740,33.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,69.8000,24.9000,0.0000,0.0000,0.0000,229.6000,219.4000,218.7000,0.0000,0.0000,2,1408328059
2014/08/18   10:15:19,1,1,0,1,0,1,0,0,0,1,0.0000,19.6200,0.0000,0.2747,0.2808,1.3945,0.0086,0.3746,0.3754,25.6139,24.7136,12.1583,13.3546,0.3749,0.0000,0.0000,22.2602,0.0000,2.2768,0.3600,0.0000,1066060608.0000,1103600000.0000,108.4330,24.9300,0.0000,0.0000,141182.0000,703297.0000,509.4740,33.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,69.9000,24.9000,0.0000,0.0000,0.0000,231.0000,219.2000,218.7000,0.0000,0.0000,3,1408328119
2014/08/18   10:17:19,1,1,0,1,0,1,0,0,0,1,0.0000,19.6200,0.0000,0.2655,0.2808,1.3949,0.0087,0.3746,0.3754,25.6597,24.7319,12.1491,13.3180,0.3749,0.0000,0.0000,22.2510,0.0000,2.2746,0.3599,0.0000,961.0000,11300.0000,108.4700,24.9800,0.0000,0.0000,141182.0000,703297.0000,509.4740,33.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,70.0000,24.8000,0.0000,0.0000,0.0000,229.2000,219.4000,218.7000,0.0000,0.0000,4,1408328239
2014/08/18   10:18:19,1,1,0,1,0,1,0,0,0,1,0.0000,19.6200,0.0000,0.2747,0.2808,1.3949,0.0087,0.3746,0.3754,25.6810,24.7502,12.1583,13.3180,0.3749,0.0000,0.0000,22.2510,0.0000,2.2733,0.3598,0.0000,0.0000,0.0000,108.4700,24.9800,1.0843,25.0000,141182.0000,703297.0000,509.4740,33.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,69.9000,24.9000,0.0000,0.0000,0.0000,229.2000,219.4000,218.7000,0.0000,0.0000,5,1408328299
2014/08/18   10:19:19,1,1,0,1,0,0,0,0,0,1,0.0000,19.6109,0.0000,0.2655,0.2808,1.3949,0.0086,0.3747,0.3754,25.6993,24.7685,12.1766,13.3180,0.3749,0.0000,0.0000,22.2602,0.0000,2.2722,0.3598,0.0000,961.0000,11300.0000,108.4700,25.0400,0.0000,0.0000,141182.0000,703297.0000,509.4740,33.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,69.8000,24.9000,0.0000,0.0000,0.0000,229.4000,219.8000,218.7000,0.0000,0.0000,6,1408328359
2014/08/18   10:26:19,1,1,1,1,0,1,0,0,0,1,0.0000,19.5743,0.0000,0.2747,0.2808,1.3945,0.0087,0.3746,0.3753,25.8702,24.9211,12.1766,13.3729,0.3749,0.0000,0.0000,22.2602,0.0000,2.2655,0.3595,0.0000,961.0000,11300.0000,108.5430,25.2000,0.0000,0.0000,141182.0000,703297.0000,509.4740,33.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,63.4000,24.9000,0.0000,0.0000,0.0000,230.0000,219.2000,218.7000,0.0000,0.0000,7,1408328779
2014/08/18   10:27:19,1,1,1,1,0,1,0,0,0,1,0.0000,19.5834,0.0000,0.2655,0.2808,1.3945,0.0088,0.3746,0.3753,25.8977,24.9516,12.1674,13.3729,0.3749,0.0000,0.0000,22.2510,0.0000,2.2642,0.3595,0.0000,961.0000,11300.0000,108.5060,25.2500,0.0000,0.0000,141182.0000,703297.0000,509.4740,33.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,65.1000,24.9000,0.0000,0.0000,0.0000,228.8000,219.6000,218.7000,0.0000,0.0000,8,1408328839
2014/08/18   10:28:19,1,1,0,1,0,1,0,0,0,1,0.0000,19.5743,0.0000,0.2747,0.2716,1.3941,0.0087,0.3746,0.3753,25.9191,24.9608,12.1674,13.3454,0.3747,0.0000,0.0000,22.2510,0.0000,2.2631,0.3594,0.0000,961.0000,11300.0000,108.5060,25.2500,0.0000,0.0000,141182.0000,703297.0000,509.4740,33.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,66.4000,24.9000,0.0000,0.0000,0.0000,228.8000,219.6000,218.7000,0.0000,0.0000,9,1408328899
2014/08/18   10:29:19,1,1,1,1,0,0,0,0,0,1,0.0000,19.5560,0.0000,0.2655,0.2808,1.3945,0.0087,0.3746,0.3754,25.9465,24.9883,12.1674,13.3363,0.3747,0.0000,0.0000,22.2602,0.0000,2.2620,0.3594,0.0000,961.0000,11300.0000,108.5430,25.2700,0.0000,0.0000,141182.0000,703297.0000,509.4740,33.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,67.4000,24.9000,0.0000,0.0000,0.0000,229.8000,220.2000,218.7000,0.0000,0.0000,10,1408328959
2014/08/18   10:41:19,1,1,0,1,0,0,0,0,0,1,0.0000,19.5254,0.0000,0.2655,0.2899,1.3941,0.0089,0.3746,0.3754,26.2792,25.2660,12.1979,13.3851,0.3747,0.0000,0.0000,22.2510,0.0000,2.2499,0.3585,0.0000,961.0000,11300.0000,108.6520,25.6500,0.0000,0.0000,141182.0000,703297.0000,509.4740,33.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,70.0000,24.9000,0.0000,0.0000,0.0000,230.6000,219.8000,218.7000,0.0000,0.0000,11,1408329679
2014/08/18   10:42:19,1,1,0,1,0,0,0,0,0,1,0.0000,19.4980,0.0000,0.2655,0.2808,1.3941,0.0089,0.3746,0.3753,26.3097,25.2934,12.1979,13.3546,0.3747,0.0000,0.0000,22.2510,0.0000,2.2488,0.3585,0.0000,961.0000,11300.0000,108.7250,25.6900,0.0000,0.0000,141182.0000,703297.0000,509.4740,33.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,69.9000,24.9000,0.0000,0.0000,0.0000,230.6000,218.8000,218.7000,0.0000,0.0000,12,1408329739
2014/08/18   10:43:19,1,1,0,1,0,0,0,0,0,1,0.0000,19.4980,0.0000,0.2655,0.2991,1.3941,0.0089,0.3746,0.3753,26.3463,25.3240,12.2071,13.3546,0.3746,0.0000,0.0000,22.2510,0.0000,2.2477,0.3584,0.0000,961.0000,11300.0000,108.7250,25.6900,0.0000,0.0000,141182.0000,703297.0000,509.4740,33.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,69.9000,24.9000,0.0000,0.0000,0.0000,231.2000,219.6000,218.7000,0.0000,0.0000,13,1408329799
2014/08/18   10:44:19,1,1,1,1,0,0,0,0,0,1,0.0000,19.4980,0.0000,0.2655,0.2899,1.3945,0.0089,0.3744,0.3753,26.3860,25.3423,12.2071,13.3546,0.3747,0.0000,0.0000,22.2602,0.0000,2.2464,0.3583,0.0000,961.0000,11300.0000,108.7250,25.6900,0.0000,0.0000,141182.0000,703297.0000,509.4740,33.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,68.1000,24.9000,0.0000,0.0000,0.0000,229.2000,219.6000,218.7000,0.0000,0.0000,14,1408329859
2014/08/18   10:45:19,1,1,0,1,0,0,0,0,0,1,0.0000,19.5071,0.0000,0.2655,0.2899,1.3941,0.0089,0.3746,0.3753,26.4135,25.3697,12.2071,13.4126,0.3747,0.0000,0.0000,22.2510,0.0000,2.2453,0.3581,0.0000,1066085120.0000,1104029952.0000,108.7250,25.6900,0.0000,0.0000,141182.0000,703297.0000,509.4740,33.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,65.9000,25.0000,0.0000,0.0000,0.0000,228.2000,219.8000,218.7000,0.0000,0.0000,15,1408329919
2014/08/18   10:46:19,1,1,1,1,0,0,0,0,0,1,0.0000,19.4675,0.0000,0.2655,0.2899,1.3941,0.0089,0.3746,0.3753,26.4531,25.4003,12.1979,13.4126,0.3747,0.0000,0.0000,22.2602,0.0000,2.2448,0.3580,0.0000,961.0000,11300.0000,108.7250,25.8200,0.0000,0.0000,141182.0000,703297.0000,509.4740,33.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,63.1000,24.9000,0.0000,0.0000,0.0000,227.8000,219.6000,218.7000,0.0000,0.0000,16,1408329979
2014/08/18   10:47:19,1,1,0,1,0,0,0,0,0,1,0.0000,19.4797,0.0000,0.2655,0.2991,1.3945,0.0089,0.3746,0.3753,26.4806,25.4277,12.2163,13.4034,0.3746,0.0000,0.0000,22.2602,0.0000,2.2431,0.3580,0.0000,961.0000,11300.0000,108.7250,25.8700,1.0872,25.8700,141182.0000,703297.0000,509.4740,33.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,64.0000,24.9000,0.0000,0.0000,0.0000,227.8000,219.6000,218.7000,0.0000,0.0000,17,1408330039
2014/08/18   10:48:19,1,1,1,1,0,1,0,0,0,1,0.0000,19.4797,0.0000,0.2655,0.2899,1.3941,0.0089,0.3746,0.3753,26.5172,25.4460,12.2163,13.4034,0.3746,0.0000,0.0000,22.2602,0.0000,2.2426,0.3579,0.0000,1066091264.0000,1104092800.0000,108.7250,25.8700,0.0000,0.0000,141182.0000,703297.0000,509.4740,33.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,65.6000,24.9000,0.0000,0.0000,0.0000,227.8000,219.6000,218.7000,0.0000,0.0000,18,1408330099
2014/08/18   10:49:19,1,1,0,1,0,0,0,0,0,1,0.0000,19.4675,0.0000,0.2747,0.2991,1.3945,0.0089,0.3746,0.3753,26.5569,25.4857,12.2254,13.4217,0.3746,0.0000,0.0000,22.2602,0.0000,2.2413,0.3579,0.0000,1066091264.0000,1104092800.0000,0.0000,0.0000,0.0000,0.0000,141182.0000,703297.0000,509.4740,33.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,63.0000,24.9000,0.0000,0.0000,0.0000,227.8000,219.6000,218.7000,0.0000,0.0000,19,1408330159
2014/08/18   10:50:19,1,1,1,1,0,1,0,0,0,1,0.0000,19.4675,0.0000,0.2747,0.3082,1.3941,0.0089,0.3744,0.3753,26.5844,25.5040,12.2346,13.3943,0.3746,0.0000,0.0000,22.2602,0.0000,2.2402,0.3578,0.0000,1066091264.0000,1104092800.0000,0.0000,0.0000,1.0876,25.9200,141182.0000,703297.0000,509.4740,33.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,67.7000,24.9000,0.0000,0.0000,0.0000,229.0000,218.6000,218.7000,0.0000,0.0000,20,1408330219
2014/08/18   10:51:19,1,1,0,1,0,1,0,0,0,1,0.0000,19.4675,0.0000,0.2747,0.2899,1.3945,0.0090,0.3744,0.3753,26.6332,25.5315,12.2346,13.3851,0.3746,0.0000,0.0000,22.2510,0.0000,2.2391,0.3577,0.0000,1066091264.0000,1104092800.0000,0.0000,0.0000,1.0876,25.9200,141182.0000,703297.0000,509.4740,33.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,68.4000,24.9000,0.0000,0.0000,0.0000,228.6000,219.4000,218.7000,0.0000,0.0000,21,1408330279
2014/08/18   10:52:19,1,1,0,1,0,1,0,0,0,1,0.0000,19.4583,0.0000,0.2747,0.2991,1.3945,0.0090,0.3744,0.3753,26.6515,25.5620,12.2529,13.3851,0.3746,0.0000,0.0000,22.2602,0.0000,2.2378,0.3576,0.0000,0.0000,0.0000,0.0000,0.0000,1.0876,25.9200,141182.0000,703297.0000,509.4740,33.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,69.1000,24.9000,0.0000,0.0000,0.0000,230.2000,219.6000,218.7000,0.0000,0.0000,22,1408330339
2014/08/18   10:53:19,1,1,0,1,0,1,0,0,0,1,0.0000,19.4583,0.0000,0.2747,0.2899,1.3941,0.0090,0.3744,0.3753,26.6912,25.5986,12.2529,13.3943,0.3746,0.0000,0.0000,22.2510,0.0000,2.2367,0.3575,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,141182.0000,703297.0000,509.4740,33.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,69.4000,24.8000,0.0000,0.0000,0.0000,230.2000,219.6000,218.7000,0.0000,0.0000,23,1408330399
2014/08/18   10:54:19,1,1,0,1,0,1,0,0,0,1,0.0000,19.4491,0.0000,0.2747,0.2899,1.3941,0.0090,0.3744,0.3753,26.7278,25.6200,12.2437,13.4034,0.3746,0.0000,0.0000,22.2602,0.0000,2.2356,0.3573,0.0000,961.0000,11300.0000,108.8350,26.0800,0.0000,0.0000,141182.0000,703297.0000,509.4740,33.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,69.7000,24.8000,0.0000,0.0000,0.0000,229.6000,220.6000,211.6000,0.0000,0.0000,24,1408330459
2014/08/18   10:55:19,1,1,0,1,0,0,0,0,0,1,0.0000,19.4400,0.0000,0.2747,0.2991,1.3941,0.0090,0.3746,0.3753,26.7583,25.6474,12.2437,13.4217,0.3746,0.0000,0.0000,22.2602,0.0000,2.2345,0.3571,0.0000,961.0000,11300.0000,0.0000,0.0000,0.0000,0.0000,141182.0000,703297.0000,509.4740,33.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,70.1000,24.8000,0.0000,0.0000,0.0000,229.6000,220.6000,211.6000,0.0000,0.0000,25,1408330519
2014/08/18   10:56:19,1,1,1,1,0,0,0,0,0,1,0.0000,19.4400,0.0000,0.2747,0.2899,1.3941,0.0090,0.3744,0.3753,26.8041,25.6749,12.2620,13.4126,0.3746,0.0000,0.0000,22.2602,0.0000,2.2332,0.3569,0.0000,961.0000,11300.0000,108.8710,26.1400,0.0000,0.0000,141182.0000,703297.0000,509.4740,33.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,70.2000,24.8000,0.0000,0.0000,0.0000,229.6000,220.6000,211.6000,0.0000,0.0000,26,1408330579
2014/08/18   10:57:19,1,1,1,1,0,1,0,0,0,1,0.0000,19.4308,0.0000,0.2655,0.2991,1.3941,0.0090,0.3744,0.3753,26.8346,25.7054,12.2742,13.4400,0.3746,0.0000,0.0000,22.2510,0.0000,2.2327,0.3567,0.0000,961.0000,11300.0000,0.0000,0.0000,0.0000,0.0000,141182.0000,703297.0000,509.4740,33.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,70.3000,24.8000,0.0000,0.0000,0.0000,229.0000,218.6000,218.7000,0.0000,0.0000,27,1408330639
2014/08/18   10:58:19,1,1,0,1,0,1,0,0,0,1,0.0000,19.4308,0.0000,0.2655,0.2899,1.3941,0.0091,0.3743,0.3752,26.8712,25.7421,12.2620,13.4309,0.3746,0.0000,0.0000,22.2510,0.0000,2.2310,0.3565,0.0000,961.0000,11300.0000,0.0000,0.0000,0.0000,0.0000,141182.0000,703297.0000,509.4740,33.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,70.4000,24.8000,0.0000,0.0000,0.0000,228.8000,220.2000,218.7000,0.0000,0.0000,28,1408330699
2014/08/18   10:59:19,1,1,0,1,0,0,0,0,0,1,0.0000,19.4125,0.0000,0.2747,0.2899,1.3941,0.0090,0.3743,0.3752,26.9079,25.7726,12.2834,13.4309,0.3746,0.0000,0.0000,22.2602,0.0000,2.2305,0.3564,0.0000,961.0000,11300.0000,108.8710,26.2600,0.0000,0.0000,141182.0000,703297.0000,509.4740,33.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,70.3000,24.9000,0.0000,0.0000,0.0000,228.6000,220.0000,218.7000,0.0000,0.0000,29,1408330759
2014/08/18   11:00:19,1,1,1,1,0,1,0,0,0,1,0.0000,19.4308,0.0000,0.2747,0.2899,1.3941,0.0090,0.3743,0.3752,26.9567,25.8092,12.3017,13.4523,0.3746,0.0000,0.0000,22.2602,0.0000,2.2286,0.3562,0.0000,961.0000,11300.0000,108.8710,26.2600,0.0000,0.0000,141182.0000,703297.0000,509.4740,33.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,70.3000,24.8000,0.0000,0.0000,0.0000,228.4000,220.2000,218.7000,0.0000,0.0000,30,1408330819
2014/08/18   11:01:19,1,1,1,1,0,0,0,0,0,1,0.0000,19.4217,0.0000,0.2747,0.3082,1.3937,0.0091,0.3743,0.3752,26.9842,25.8489,12.3017,13.5163,0.3745,0.0000,0.0000,22.2510,0.0000,2.2281,0.3560,0.0000,961.0000,11300.0000,108.8710,26.2600,0.0000,0.0000,141182.0000,703297.0000,509.4740,33.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,70.3000,24.9000,0.0000,0.0000,0.0000,230.4000,219.4000,218.7000,0.0000,0.0000,31,1408330879
2014/08/18   11:02:19,1,1,0,1,0,0,0,0,0,1,0.0000,19.4125,0.0000,0.2747,0.2991,1.3941,0.0091,0.3744,0.3752,27.0330,25.8763,12.3109,13.5652,0.3745,0.0000,0.0000,22.2510,0.0000,2.2270,0.3560,0.0000,961.0000,11300.0000,108.8710,26.2600,0.0000,0.0000,141182.0000,703297.0000,509.4740,33.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,70.4000,24.9000,0.0000,0.0000,0.0000,230.6000,220.0000,218.7000,0.0000,0.0000,32,1408330939
2014/08/18   11:03:19,1,1,1,1,0,1,0,0,0,1,0.0000,19.4125,0.0000,0.2655,0.2991,1.3937,0.0091,0.3743,0.3752,27.0818,25.9130,12.3109,13.5469,0.3745,0.0000,0.0000,22.2510,0.0000,2.2259,0.3559,0.0000,961.0000,11300.0000,108.8710,26.2600,0.0000,0.0000,141182.0000,703297.0000,509.4740,33.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,68.9000,24.9000,0.0000,0.0000,0.0000,232.0000,220.0000,218.7000,0.0000,0.0000,33,1408330999
2014/08/18   11:04:19,1,1,1,1,0,1,0,0,0,1,0.0000,19.4034,0.0000,0.2655,0.3082,1.3937,0.0091,0.3743,0.3752,27.1093,25.9435,12.3017,13.5560,0.3745,0.0000,0.0000,22.2602,0.0000,2.2248,0.3557,0.0000,961.0000,11300.0000,108.9440,26.4400,0.0000,0.0000,141182.0000,703297.0000,509.4740,33.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,66.5000,24.9000,0.0000,0.0000,0.0000,232.0000,220.0000,218.7000,0.0000,0.0000,34,1408331059
2014/08/18   11:05:19,1,1,0,1,0,0,0,0,0,1,0.0000,19.3912,0.0000,0.2747,0.3082,1.3937,0.0091,0.3743,0.3752,27.1581,25.9801,12.3200,13.5377,0.3745,0.0000,0.0000,22.2510,0.0000,2.2235,0.3556,0.0000,961.0000,11300.0000,108.9080,26.4800,0.0000,0.0000,141182.0000,703297.0000,509.4740,33.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,63.7000,24.9000,0.0000,0.0000,0.0000,232.0000,220.0000,218.7000,0.0000,0.0000,35,1408331119
2014/08/18   11:06:19,1,1,1,1,0,0,0,0,0,1,0.0000,19.3820,0.0000,0.2655,0.2991,1.3937,0.0091,0.3742,0.3752,27.2039,26.0198,12.3200,13.4980,0.3745,0.0000,0.0000,22.2602,0.0000,2.2224,0.3555,0.0000,961.0000,11300.0000,0.0000,0.0000,1.0894,26.5200,141182.0000,703297.0000,509.4740,33.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,63.7000,24.9000,0.0000,0.0000,0.0000,232.2000,220.4000,218.7000,0.0000,0.0000,36,1408331179
2014/08/18   11:07:19,1,1,0,1,0,1,0,0,0,1,0.0000,19.3820,0.0000,0.2655,0.3082,1.3937,0.0092,0.3743,0.3752,27.2436,26.0656,12.3200,13.4889,0.3745,0.0000,0.0000,22.2602,0.0000,2.2213,0.3553,0.0000,961.0000,11300.0000,109.0170,26.5800,0.0000,0.0000,141182.0000,703297.0000,509.4740,33.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,65.4000,24.9000,0.0000,0.0000,0.0000,233.5000,220.2000,218.7000,0.0000,0.0000,37,1408331239
2014/08/18   11:08:19,1,1,0,1,0,1,0,0,0,1,0.0000,19.3820,0.0000,0.2747,0.3082,1.3937,0.0091,0.3742,0.3752,27.3016,26.1052,12.3292,13.4889,0.3744,0.0000,0.0000,22.2602,0.0000,2.2202,0.3551,0.0000,961.0000,11300.0000,109.0170,26.6100,0.0000,0.0000,141182.0000,703297.0000,509.4740,33.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,63.1000,24.8000,0.0000,0.0000,0.0000,232.2000,219.6000,218.7000,0.0000,0.0000,38,1408331299
2014/08/18   11:09:19,1,1,0,1,0,0,0,0,0,1,0.0000,19.3912,0.0000,0.2747,0.3082,1.3941,0.0092,0.3743,0.3751,27.3382,26.1327,12.3292,13.4797,0.3744,0.0000,0.0000,22.2510,0.0000,2.2189,0.3550,0.0000,961.0000,11300.0000,108.9810,26.6100,0.0000,0.0000,141182.0000,703297.0000,509.4740,33.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,67.6000,24.9000,0.0000,0.0000,0.0000,231.0000,219.2000,218.7000,0.0000,0.0000,39,1408331359
